param I := 200;
param J := 50;	
58	720.769 2271.6 1703.19 15357.1 1347.23 765.503 17910.3 2795.98 976.641 1334.06 1832.71 5206.25 386.28 233.206 370.17 119.371 465.914 1866.14 1652.48 8197.34 2351 1480.9 1401.19 1989.03 2544.49 266.255 548.596 746.438 532.904 1213.31 3145.53 1477.8 3360.55 1697.77 7579.16 2121.86 4122.35 2056.17 376.294 160.876 2658.96 9232.35 225.54 723.15 1192.35 298.585 555.571 689.786 3613.96 209.89 
59	1290.3 2989 3881.12 8304.98 3464.69 1384.51 9923.67 4078.57 2779.75 2868.78 1499.61 2977.18 414.293 280.109 429.383 204.563 387.037 3525.15 3565.71 26656.7 3587.76 2880.48 1927.46 4086.22 4791.78 443.008 1386.83 1626.67 592.676 1715.5 8340.1 1822.14 9441.33 4197.09 21299 4649.69 5671.76 4926.13 307.007 220.258 3477.2 12698.8 485.287 1684.52 2555.61 1107.62 1115.74 1482.76 8501.54 129.012 
60	245.059 870.126 900.244 2069.62 928.659 458.269 2538.5 1210.39 826.6 338.415 491.517 830.803 457.182 210.755 496.653 184.888 312.203 512.852 1109.81 6440.13 849.903 580.576 610.083 704.993 1688.01 176.134 372.779 152.631 658.402 509.329 1609.86 656.981 2118.98 1134.47 3868.47 988.494 1522.24 1089.72 248.717 246.386 1036.61 3506.66 167.968 443.769 509.599 330.173 445.247 465.022 922.697 64.694 
61	129.388 676.62 650.613 1515.72 768.2 502.999 1949.07 1066.65 730.217 225.523 381.978 595.289 492.178 233.206 544.518 232.633 266.255 198.772 951 4695.59 581.346 285.15 478.96 350.641 1750.38 176.134 286.702 0 704.712 392.654 982.563 477.836 1518.11 1064.52 2384.59 661.642 1180.31 694.316 220.388 301.011 832.541 3001.5 190.06 346.62 275.526 377.414 485.884 441.454 314.317 64.694 
62	613.688 2234.94 5240.6 3197.95 6307.89 2348.72 4112.81 4935.72 1347.02 591.328 956.63 1262.91 551.845 737.73 619.445 310.609 208.523 0 5399.99 7165.54 4194.97 959.627 2069.59 1668.72 8477.2 249.185 2435.92 198.772 777.023 1650.06 1508.46 1349.15 2511.83 8583.74 3009.79 5038.63 5052.56 4849.07 202.72 384.601 2500.05 13271.4 306.528 3046.99 1315.49 582.598 2740.06 1790.37 1324.82 129.012 
63	813.181 1458.64 2152.02 14316.1 1684.77 1006.12 17594.3 2810.75 1565.9 1961.37 295.174 3892.66 414.556 349.149 266.937 219.652 622.301 2502.56 2069.18 9857.51 2156.38 1436.65 1034.33 2360.76 2918.07 401.668 678.745 1067.93 414.293 877.143 3855.19 2257.6 4174.44 2642.36 10369.2 2642.61 3077.35 2099.22 519.84 367.384 1673.66 9368.58 436.393 997.381 1354.17 605.359 998.53 1206.22 5831.29 384.601 
64	440.944 554.639 901.15 5779.28 731.761 616.767 7314.89 1150.17 561.267 698.96 0 1491.57 409.517 312.203 274.606 193.519 594.31 956.63 1094.86 3696.47 812.452 610.76 446.946 883.129 1246.22 374.93 297.406 381.978 427.126 319.61 1298.43 595.185 1459.78 1322.98 4099.81 1042.68 1263.58 817.687 492.772 219.93 638.88 3966.68 337.521 384.157 616.206 399.123 640.021 820.569 2334.51 356.586 
65	672.006 2032.52 1436.34 14959.9 1101.8 638.245 17514.7 2261.66 771.886 1210.93 1679.63 5150.35 414.556 208.523 347.981 91.5354 455.906 1743.23 1408.02 8364.66 2059.29 1412.19 1254.55 1819.93 1916.04 248.327 441.475 720.12 511.217 1011.91 3177.29 1559.5 2848.02 1383.62 7332.46 1830.95 3601.24 1810.91 361.517 179.138 2449.15 7728.7 208.135 582.175 1127.76 246.957 460.46 612.392 3312.46 219.652 
66	1120.76 3110.51 3472.5 9140.08 3287.96 1333.76 11022.4 4084.56 2291.22 2115.59 1746.54 3363.96 452.858 243.264 433.057 198.625 348.524 3252.27 3317.95 30711.8 3486.38 2754.71 1897.01 3756.71 5080.27 372.376 1293.67 1400.13 595.289 1770.89 9203.28 2315.47 7946.29 3910.38 21921.6 4131.72 5825.84 4704.53 266.255 278.693 3652.12 12492.4 386.87 1493.31 2422.14 962.219 1034.61 1417.13 6949.65 122.57 
67	531.526 3261.72 3502.18 9218.83 3951.37 1615.69 11541.8 5474.12 3973.06 877.154 2334.51 3544.7 514.668 353.239 529.684 436.339 248.327 1324.82 3574.99 30989 3355.86 1560.26 1744.86 2071.25 8321.53 382.757 1611.43 314.317 688.458 2152.02 7571.04 3313.9 8292.03 4746.54 15963.3 3560.44 6561.17 4088.2 194.082 310.609 3749.82 15151.7 463.339 1919.65 1552.15 1236.98 1376.06 1299.12 0 91.5354 
68	224.811 1085.06 1598.31 1413.62 1545.2 513.457 1554.56 1179.17 465.669 219.776 580.55 838.39 571.994 266.255 606.446 301.011 185.085 164.131 1589.63 2469.35 1691.88 497.752 1255.28 518.233 1516.09 185.085 817.659 108.642 762.313 719.083 739.029 829.529 839.235 1362.69 994.011 1523.42 1502.07 1651.93 173.76 392.159 1273.05 3045 184.888 964.341 483.206 245.14 364.112 312.785 320.421 144.352 
69	894.904 1706 5310.2 2408.23 6218.34 2109.6 3277.56 4860.41 1601.72 1045.98 870.004 990.235 777.023 970.268 848.008 554.429 204.284 2454.89 5338.15 7266.05 3129.94 403.299 1446.49 1670.46 9077.63 401.668 2469.28 482.747 996.124 1481.64 1793.83 1249.41 2805.42 8661.98 4330.12 5047.1 4161.46 3573.92 312.203 1151.46 1841.28 12292.8 506.464 3285.53 627.069 787.861 2854.83 1032.52 3213.72 384.601 
70	1741.93 4708.82 4496.28 5974.7 3417.31 2900.85 7566.86 12604.3 1840.6 2183.17 459.936 1550.3 467.552 560.929 307.824 293.963 701.313 5331.9 3804.65 10841.6 6131.72 2925.95 2662.22 4917.72 15894.2 483.768 1469.38 1178.62 415.949 3549.39 4128.4 1435.23 4527.11 5146.44 11469.8 5486.77 10986.4 4127.24 594.31 324.439 5224.17 39672.1 549.195 2196.74 2757.37 753.184 1702.58 1963.54 6697.39 475.448 
71	763.908 1714.27 1951.21 17201.6 1533.96 1019.89 21235.3 2453.61 1221.55 1752.98 769.849 5055.73 434.4 290.542 272.838 129.012 531.536 2439.17 1894.38 10630.8 2160.19 1379.9 987.092 2312.56 1969.48 342.602 566.581 990.651 433.645 804.509 3860.65 1410.43 3590.8 2548.43 10563.2 2461.04 3438.97 2098.9 428.676 395.602 2053.32 9060.92 374.344 824.007 1365.28 534.717 965.823 1234.98 5446.32 310.609 
72	685.183 1717.54 1748.36 16652.9 1399.58 958.753 20551.4 2294.5 1009.56 1530.21 1055.47 5007.95 435.355 260.612 289.097 104.068 503.448 2202.25 1742.1 9915.45 2032.52 1265.77 941.945 2105.79 1820.48 309.496 498.619 876.302 451.475 790.753 3517.66 1222.52 3139.03 2338.89 9654.87 2217.58 3413.72 1955.56 401.668 380.969 2062.33 8562.6 332.498 711.081 1257.1 479.643 898.144 1162.1 4815.74 284.072 
73	259.046 719.882 590.401 1593.32 450.7 319.843 1779.53 546.736 260.135 329.888 381.57 791.794 478.96 144.8 416.27 104.068 337.521 601.125 678.938 5464.9 650.181 642.744 489.417 692.193 620.421 144.548 233.386 283.763 577.41 369.695 1772.55 485.905 1068.49 448.069 3684.23 614.173 934.778 833.887 248.327 225.54 884.413 1665.47 104.262 230.625 533.096 147.64 262.229 440.506 1078.85 144.548 
74	158.443 966.368 957.552 3206.03 1208.77 663.701 4133.78 1749.41 1012.42 0 698.96 1123.36 521.309 178.515 490.468 218.014 258.025 591.328 1251.64 10811.8 995.058 498.528 539.824 690.789 2918.71 170.806 437.372 225.523 648.548 620.223 2584.62 883.812 2017.22 1659.45 6681.16 980.093 2090.58 1191.03 185.085 303.15 1119.3 4967.44 174.238 499.351 514.946 446.59 639.582 643.227 877.154 115.84 
75	263.855 1835.08 3645.66 2997.54 4709.49 1799.98 3864.97 3835.51 976.513 352.757 795.482 1139.43 573.649 536.56 568.144 265.768 184.888 903.388 3984.04 7020.61 3217.19 942.673 1597.62 1191.42 6759.44 162.978 1793.78 167.145 723.033 1302.78 1585.98 1113.51 1684.43 6319.5 3691.63 3364.03 4094.12 3662.17 147.64 374.93 2088.19 10271.4 202.671 2185.93 1107.22 413.47 2048.42 1467.06 838.29 144.548 
76	336.459 1119.51 2741.02 1507.79 3559.97 1426.22 2052.08 2876.28 853.188 498.528 610.76 816.777 698.962 635.506 729.45 436.163 119.371 959.627 3119.74 4280.21 1635.13 0 671.281 507.433 5649.6 284.072 1307.68 285.15 878.609 894.19 919.193 574.443 1370.84 5238.75 2433.51 2491.07 2509.29 1910.07 204.284 538.59 1260.79 7380.31 323.586 1701.97 217.33 511.981 1870.23 736 1560.26 284.072 
77	634.701 352.268 1021.78 763.926 439.305 520.504 685.828 348.524 433.269 548.345 209.89 477.485 531.018 475.448 233.206 375.778 782.975 668.529 1007.43 577.41 577.41 807.479 511.019 721.082 293.963 554.429 419.78 582.911 318.56 297.061 606.446 301.011 497.583 503.896 675.042 566.402 362.466 658.572 672.906 336.529 393.734 416.436 521.983 440.944 809.036 503.448 541.956 860.014 579.303 566.402 
78	957.044 2696.43 2672.5 4112.57 2153.95 2063.25 5375.23 7750.02 1084.9 1292.01 256.162 1029.35 485.25 477.972 251.373 260.992 668.529 3165.24 2534.93 6950.96 3442.26 1502.26 1274.92 2822.34 10297.5 440.944 841.596 701.034 371.977 1857.55 2354.1 744.853 2557.79 3722.92 7599.78 3247.19 6691.55 2380.82 559.699 301.278 3104.19 25475.4 478.541 1269.8 1621.07 641.573 1432.75 1721.12 4444.11 455.906 
79	595.932 3114.87 1313.88 3330.98 985.258 1048.03 4144.91 3521.61 355.219 630.308 285.44 1033.23 466.931 184.888 285.997 64.5062 469.233 1886.34 1313.1 4731.61 2506.32 1239.26 1191.37 1805.97 2550.34 246.386 347.711 382.277 449.424 1293.79 1619.51 366.462 1200.98 1575.36 4345.5 1731.43 6057.97 1623.49 364.725 176.134 3814.43 13992.3 209.89 496.211 1079.21 240.5 603.634 856.608 2029.8 272.259 
80	422.568 810.189 835.401 2895.79 720.496 388.552 3558.5 842.822 299.786 989.772 410.23 996.676 485.25 129.388 352.356 40.8567 384.601 1256.39 951.665 10916.2 879.26 989.451 557.592 1248.37 1001.59 177.94 238.167 660.189 514.078 366.689 3529.49 535.114 1902.11 1012.42 8718.5 1112.84 1435.33 1245.25 284.072 208.523 1014.02 2925.68 168.103 269.251 784.661 267.848 391.827 577.263 3317.26 204.284 
81	453.224 1299.59 1136.61 4549.24 1172.2 546.227 5599.05 1573.19 465.522 955.442 808.201 1640.34 505.373 115.84 400.875 99.8434 328.709 1572.6 1304.3 16733.4 1349.77 1241.4 801.28 1598.18 2162.36 163.509 413.783 766.583 560.457 693.948 5088.31 1124.25 2213.46 1485.13 11930.9 1429.3 2427.99 1814.83 232.633 245.14 1560.39 4881.04 138.995 418.82 1042.68 325.704 495.531 664.967 3622.28 168.649 
82	86.148 768.019 676.197 2555.34 886.305 481.029 3283.01 1326.97 880.712 218.87 589.517 931.861 561.43 163.427 503.713 203.808 219.652 437.944 940.635 9188.32 727.706 402.7 480.591 438.445 2239.26 106.135 342.903 234.402 658.572 496.298 2322.69 807.16 1486.59 1112.62 5430.68 641.94 1584.39 849.122 144.548 542.821 933.583 3617.37 118.444 395.926 349.93 303.696 440.913 440.8 923.332 147.64 
83	68.6189 1093.78 1026.95 3587.17 1332.74 630.217 4626.14 1994.69 1454 478.249 877.19 1330.15 578.194 189.233 530.223 267.692 193.519 515.522 1293.2 13066.9 1034.77 449.295 609.931 490.603 3400.25 147.426 530.519 341.793 683.938 738.987 3271.18 1219.51 2422.81 1643.5 7351.48 937.831 2290.82 1179.81 129.388 361.517 1265.73 5329.24 188.987 630.193 427.651 444.276 589.492 510.399 1427.83 155.851 
84	1113 2718.99 7234.83 4216.33 8520.4 2820.31 5593.1 6809.39 2248.11 1412.63 1401.01 1729.55 739.554 1069.03 748.476 476.12 104.262 3233.21 6924 11826.3 4755.54 267.714 2428.87 1629.48 12409.9 374.457 3524.47 668.951 894.432 2242.33 2986.61 2116.81 3886.25 11066 6673.56 6682.68 6224.35 5110.17 208.135 574.488 3001.6 17067.6 506.282 4635.55 442.992 840.873 3353.68 1149.93 4116.88 322.531 
85	749.32 362.466 1232.41 843.243 538.59 606.627 769.938 447.551 547.58 665.386 328.709 543.633 618.667 582.911 288.705 489.94 895.295 786.715 1204.04 688.458 658.572 924.057 584.399 835.78 404.518 665.386 525.985 701.313 311.701 392.159 723.361 419.78 607.985 602.213 793.356 672.906 408.567 749.86 782.975 451.543 347.52 503.896 634.701 550.635 922.695 611.424 638.268 966.803 697.115 685.256 
86	662.86 330.085 1063.07 802.36 455.906 529.858 724.933 364.725 461.12 579.303 246.386 512.975 570.472 497.583 225.737 403.48 809.036 701.313 1039.68 617.882 584.399 837.785 514.078 749.32 318.34 579.303 440.944 616.206 291.031 310.609 645.062 337.521 521.983 520.029 712.262 587.925 352.941 670.939 697.115 376.294 358.114 426.164 548.345 464.743 836.282 525.985 556.963 881.888 611.424 602.021 
87	641.821 1855.41 1840.58 3260.31 1502.24 1558.98 4334.67 5166.95 744.421 906.13 192.363 811.993 505.637 397.081 201.849 230.56 636.68 2242.29 1874.46 5261.63 2304.42 967.471 762.691 1951.11 6860.35 407.616 558.576 544.222 330.587 1105.83 1647.89 494.761 1717.17 2796.06 5768.2 2247.92 4648.92 1629.96 525.985 282.667 2229.8 17818.6 409.034 855.137 1139.22 532.026 1163.74 1476.98 3322.29 439.305 
88	403.48 362.466 568.144 729.144 225.54 329.717 642.96 224.411 201.74 322.268 91.5354 505.637 493.163 246.386 208.523 144.1 550.635 447.551 577.41 544.111 393.241 579.303 349.636 489.94 105.822 322.268 193.519 364.725 370.17 120.446 429.383 129.388 265.768 288.865 508.203 337.521 413.393 451.08 440.944 210.755 490.281 699.097 289.651 209.89 577.127 273.544 329.201 629.67 356.586 361.517 
89	445.413 2711.3 995.901 3301.52 787.747 1012.57 4250.43 2930.03 238.586 511.711 337.539 990.499 499.854 158.571 301.985 28.82 436.163 1583.65 1088.18 4534.44 1967.28 881.618 819.004 1447.5 2794.02 209.89 229.48 316.08 451.08 1075.8 1380.7 422.776 850.371 1478.07 4148.06 1348.22 5581.76 1293.56 328.709 218.764 3355.33 12383.4 175.328 326.824 889.174 225.222 629.627 950.268 1864.03 266.255 
90	259.38 449.424 326.854 726.291 147.64 266.981 641.641 129.388 70.1191 218.014 193.519 556.468 505.637 122.57 312.203 0 407.616 310.609 388.164 1384.04 330.085 436.163 318.56 345.84 91.1812 182.362 91.5354 232.633 473.538 163.427 632.77 144.548 278.796 194.171 1047.24 220.415 352.941 352.941 301.011 220.388 600.676 289.489 146.981 81.7135 433.269 144.352 233.206 492.772 436.339 245.14 
91	355.567 875.866 761.449 3719.49 790.244 522.323 4750.45 1083.52 0 1012.42 561.267 1220.31 521.805 98.4463 361.517 70.1191 350.657 1347.02 966.182 13909.9 931.595 853.188 481.876 1252.52 1677.57 194.035 221.104 730.217 520.338 434.274 4013 717.737 1448.7 1261.27 11071.2 1041.28 1767.57 1259.27 246.386 257.795 1065.24 3624.42 177.439 199.766 807.546 306.269 517.193 780.864 3973.06 208.523 
92	851.545 2390.21 1738.94 8905.66 1861.95 890.191 10955.4 2643.35 620.379 2069.85 1578.89 3249.22 532.051 115.246 387.037 132.241 322.268 3173.69 1939.25 34298.8 2348.42 2352.03 1291.95 3037.73 3781.48 205.69 632.139 1648.98 544.518 1234.35 10741.7 2331.43 2978.51 2308.58 24190.2 2323.9 4335.92 3183.25 219.652 338.661 2909.63 8148.02 173.36 561.285 1968.82 447.105 677.034 1140.89 7554.61 194.082 
93	531.657 1859.08 1250.26 6626.33 1476.77 647.752 8136.25 2172.51 918.119 1206.83 1290.13 2486.42 543.633 97.8513 412.992 139.316 293.963 2114.65 1490 25483.5 1750.76 1644.85 1050.21 2016.48 3157.39 121.998 551.26 1083.9 569.13 1017 7854.46 1957.6 1984.74 1676.57 16938.9 1544.05 3356.06 2299.37 193.519 294.72 2248.28 6333.49 78.8331 526.072 1346.1 300.865 492.914 762.076 4697.93 183.071 
94	180.81 623.907 437.065 2422.31 579.829 392.131 3108.65 886.843 326.565 410.31 439.604 826.392 543.718 91.5986 413.174 115.48 293.766 695.552 683.262 8919.03 597.054 520.789 383.065 641.207 1497.2 93.5637 190.019 365.549 569.303 345.218 2433.53 578.174 657.946 811.096 6417.62 528.058 1252.73 753.621 193.34 286.138 782.538 2628.07 58.3052 180.981 437.921 179.929 356.585 511.814 1855.91 183.008 
95	86.46 584.399 258.776 759.825 204.284 284.915 677.554 258.025 115.28 57.92 356.586 655.181 570.472 122.57 465.914 172.92 237.724 163.427 388.164 949.477 330.085 265.768 362.466 172.92 260.992 57.92 168.265 119.371 619.445 310.609 397.91 284.072 127.024 193.993 546.878 115.84 473.538 291.031 144.352 1810.61 748.434 308.868 40.8567 129.012 260.992 104.262 210.755 336.529 132.177 173.76 
96	66.8336 655.333 388.112 1397 377.554 297.725 1525.75 515.733 424.735 186.028 457.291 784.833 585.56 144.352 492.772 201.74 209.89 317.067 526.417 4577.55 467.174 350.286 395.732 289.281 570.179 64.694 235.028 198.955 645.062 383.593 1513.36 636.904 642.305 276.668 2454.22 287.565 807.061 513.606 122.57 352.356 805.812 1161.61 64.5062 236.917 281.751 122.57 220.388 312.203 518.283 176.134 
97	0 702.038 1125.51 1183.97 1634.51 700.786 1559.9 1410.33 355.567 158.443 440.944 715.186 618.667 253.509 547.087 259.38 155.305 613.688 1465.45 3025.99 1008.2 336.459 550.064 359.112 2687.38 104.068 608.45 129.388 697.047 476.866 694.527 440.405 522.445 2204.38 1838.42 936.963 1480.27 1128.12 91.5354 400.875 833.418 3684.81 118.862 738.497 367.576 194.598 808.206 611.72 531.526 194.082 
98	359.112 1806.59 3884.43 3112.29 5059.34 1778.42 4104.75 4225.29 1252.52 690.789 883.129 1196.79 674.545 643.101 629.67 345.84 81.7135 1668.72 4080.96 8256.02 2915.26 507.433 1455.73 0 7909.97 203.972 2014.33 350.641 776.523 1388.55 1977.07 1269.03 2002.59 6591.62 4712.38 3352.43 4122.1 3103.7 104.262 884.515 2042.02 10702.8 283.395 2568.06 480.935 493.018 2082.74 965.151 2071.25 245.14 
99	248.789 949.671 2123.17 1415.03 2795.81 1094.8 1925.31 2314.96 687.53 404.487 582.911 825.689 715.186 496.351 685.256 403.48 57.92 923.608 2439.51 4037.83 1339.06 120.59 637.457 259.553 4557.52 237.724 1061.12 253.802 830.283 740.164 911.174 566.128 1089.87 3920.19 2414.59 1864.75 2078.57 1480.06 144.352 530.223 1088.04 5840.36 260.992 1377.2 93.7662 397.033 1384.23 501.889 1300.45 288.705 
100	1095.47 2997.94 2678.98 5266.33 1954.54 1899.71 6822.05 6178.67 1090.03 1424.56 363.306 1453.27 528.402 403.17 201.904 203.808 605.912 3647.75 2364.15 8679.48 3619.3 1861.66 1404.7 3234.96 7393.71 376.905 793.047 797.98 357.513 1386.15 2950.21 931.441 2654.48 3378.29 8745.78 3379.3 6498.15 2555.42 493.352 332.139 3807.38 22386.9 423.481 1242.32 1859.32 554.784 1250.49 1651.79 4762.19 425.988 
101	2687.38 10708.1 4880.13 13334.1 2889.63 2766.15 16206.2 7614.6 1677.57 2918.71 1246.22 4457.13 522.076 275.914 321.395 91.1812 490.795 8477.2 3632.44 21372.8 9122.21 5649.6 4563.99 7909.97 0 283.176 1197.3 1750.38 484.75 2997.05 8037.96 2503.23 5072.68 4158.4 18113.6 6741.62 18131.9 6144.58 379.111 326.9 13859.8 37024.3 309.527 1953.23 4564.05 467.005 1049.04 2136.75 8321.53 329.201 
102	413.672 2821.48 822.736 3671.22 652.483 976.297 4793.31 2777.58 188.294 494.924 439.165 1109.47 533.875 123.528 334.787 28.96 404.518 1580.08 935.747 5036.24 1822.3 826.329 735.874 1388.9 4155.27 175.328 150.22 318.355 459.369 1125.8 1454.21 559.239 678.405 1332.46 4447 1181.43 5827.88 1201.54 293.963 276.343 3528.6 11707 154.331 213.548 866.761 188.745 590.643 978.724 1900.14 266.452 
103	146.981 520.338 186.097 1075.4 187.262 238.694 1145.1 269.281 139.237 219.94 310.609 641.952 569.992 64.694 401.668 118.862 289.651 371.577 323.996 3262.68 318.824 381.138 311.701 353.554 295.751 64.5062 104.068 223.459 554.954 246.386 1192.95 385.03 125.788 156.531 2066.97 186.993 518.14 374.288 182.362 307.205 683.938 599.107 28.82 77.0849 317.02 57.92 173.76 374.93 601.683 210.755 
104	118.862 544.518 185.13 996.224 195.05 247.217 1054.38 280.606 177.439 174.238 337.521 659.188 582.246 81.7135 428.676 146.981 260.992 306.528 328.143 2841.64 300.891 323.586 323.47 283.395 309.527 40.8567 129.012 190.06 580.556 273.544 1048.18 385.519 157.36 155.777 1716.69 148.974 504.295 334.339 155.305 326.854 709.568 574.279 0 100.846 288.2 64.694 176.134 348.524 463.339 204.758 
105	205.659 1369.33 861.202 5758.76 1482.53 832.585 7639.22 2495.27 1481.26 941.301 1147.24 1917.19 595.644 160.264 455.906 314.802 232.372 1304.2 1292.19 21448.5 1216.18 717.915 517.92 1004.46 4828.88 67.0424 521.668 800.431 606.446 864.803 5301.32 1434.65 1551.02 1984.38 14931 766.716 3025.95 1374.21 129.012 347.784 1622.74 6741.33 89.7455 569.052 746.885 400.846 738.05 905.828 4239.59 202.72 
106	198.646 1647.72 2154.6 3212.43 2946.52 1017.78 3995.65 2583.12 743.48 403.858 831.794 1378.19 625.57 239.557 510.89 232.372 175.328 2141.7 2393.9 7694.6 2642.91 1420.93 1647.44 1389.2 4260.27 64.5062 1298.17 289.375 658.957 1089.01 2183.25 1336.07 1057.75 3074.9 4522.47 1707.02 3149.41 2694.4 81.7135 392.654 1944.64 6573.05 86.5897 1550.6 1149.31 173.586 842.226 865.239 1271.48 210.755 
107	450.691 4521.12 7146.64 8056.75 9576.07 3545.49 10193.1 8329.84 2527.86 1402.38 2370.11 3529.89 1318.38 1103.71 1132.8 694.15 237.724 4644.53 7608.1 19736.2 6487.4 2271.15 3660.15 1718.61 15059.1 327.583 4044.19 906.571 1424.52 3202.36 5171.6 3249.49 3692.33 11432.9 11708.3 5669.66 8925.61 6599.75 115.84 881.012 5284.57 20720.7 476.755 4996.57 1942.18 829.475 3495.46 2421.17 4132.2 466.411 
108	367.576 986.898 2451.51 1683.01 2980.44 994.279 2234.19 2444.38 807.546 514.946 616.206 866.114 756.027 482.153 706.674 433.269 40.8567 1315.49 2592.26 4766.83 1612.61 217.33 917.095 480.935 4564.05 260.992 1239.76 275.526 848.008 806.695 1213.1 843.162 1337.66 3805.35 2841.22 2188.49 2246.8 1668.05 155.305 568.144 1102.55 6033.42 288.2 1629.94 0 389.783 1254.82 360.537 1552.15 329.201 
109	713.14 1636.1 1800.45 3496.35 1335.58 1275.06 4596.39 4333.75 773.121 970.531 296.973 950.19 562.186 350.174 125.041 237.724 634.04 2426.88 1710.39 5892.7 2245.96 1175.57 817.235 2105.77 6248.32 403.48 546.517 540.46 272.838 909.86 1948.45 685.564 1788.86 2354.68 5992.42 2245.76 3704.75 1619.77 519.568 309.586 2129.9 14720.5 375.778 860.853 1205.57 465.221 951.197 1284.46 3328.57 465.265 
110	641.596 1178.18 1023.43 1889.78 500.258 380.107 2227.04 1371.92 422.435 634.439 215.752 809.308 553.251 260.992 144.548 182.362 576.4 1475.11 854.631 3286.88 1383.14 1191.13 794.318 1419.53 1299.1 345.84 316.31 468.746 307.205 361.337 1447.31 529.359 997.028 619.249 2823.79 1160.85 1954.22 1046.2 462.029 274.606 1607.61 5251.68 318.34 463.541 938.861 289.651 322.531 644.535 1389.97 416.27 
111	738.497 922.846 981.665 2424.86 1017 684.079 3081.29 986.752 199.766 499.351 384.157 852.848 576.772 71.8875 337.521 81.7135 345.84 3046.99 1228.33 6271.29 1566.68 1701.97 756.901 2568.06 1953.23 115.28 201.036 346.62 490.468 432.928 1806.36 572.018 396.131 1820.25 5011.03 1672.45 1812.65 2146.14 232.372 297.822 1154.34 3202.29 100.846 0 1629.94 98.1462 744.342 1388 1919.65 258.776 
112	522.445 1765.52 683.253 8262.78 1363.04 863.03 10832.6 2539.67 1448.7 2017.22 1459.78 2731.96 596.592 74.9109 392.159 278.796 288.2 2511.83 1226.54 32157.7 1517.78 1370.84 673.16 2002.59 5072.68 162.977 439.265 1518.11 541.956 983.939 8700.66 1944.06 0 1871.76 24151.6 1036.13 3653.84 1886.92 175.328 574.647 2157.74 7086.2 157.36 396.131 1337.66 183.404 727.982 1261.95 8292.03 238.743 
113	104.068 554.954 163.427 847.812 168.265 233.107 882.401 247.114 194.035 170.806 374.93 699.748 621.147 91.1812 447.551 182.362 230.56 249.185 289.097 2192.01 274.606 284.072 312.785 203.972 283.176 0 146.981 176.134 594.575 293.963 843.952 354.662 162.977 144.429 1308.46 74.3114 440.506 238.719 118.862 367.711 723.361 441.856 40.8567 115.28 260.992 64.5062 155.851 310.609 382.757 231.68 
114	151.619 692.893 741.429 1431.8 1378.72 620.136 1898.79 1320.73 320.937 211.884 401.668 717.911 635.032 177.461 475.448 209.89 201.74 1157.21 1127.16 3842.45 909.28 533.079 458.465 743.676 2701.58 28.82 505.559 187.835 621.219 443.924 919.207 421.334 337.67 1774.02 2699.44 489.281 1489.78 1025.88 91.1812 388.577 843.217 3391.19 64.5062 591.819 564.082 118.991 652.755 767.989 876.692 233.466 
115	104.068 712.262 475.448 879.884 328.709 352.192 803.665 407.616 293.963 208.135 538.59 817.958 717.911 260.992 616.206 350.657 57.64 183.071 568.144 505.946 367.711 144.548 433.057 57.92 433.269 172.92 318.34 225.737 756.833 464.743 388.164 465.914 230.56 283.889 330.085 182.362 594.575 272.838 64.5062 504.794 884.532 401.481 203.808 288.2 91.1812 232.372 272.259 163.427 204.284 289.097 
116	155.305 766.194 587.925 907.761 384.601 400.702 834.094 464.743 350.657 258.025 594.31 861.48 756.225 318.34 672.906 407.616 0 208.523 675.042 537.778 410.408 119.371 480.343 81.7135 490.795 230.56 375.778 266.255 811.897 521.983 417.047 519.84 288.2 337.333 349.636 237.724 648.049 307.205 118.862 554.954 939.184 455.716 260.992 345.84 40.8567 289.651 322.531 129.388 248.327 326.854 
117	613.011 1545.06 2726.06 2418.49 2629.28 668.737 2778.57 2078 960.477 702.652 1001.9 1386.76 776.278 347.05 701.313 436.163 28.82 1852.06 2365.97 5607.25 2266.62 547.054 1746.84 747.673 2839.7 259.38 1456.26 436.377 839.559 1155.23 1910.21 1640.17 1674.02 2123.6 2939.6 2508.59 2269.83 2012.28 146.981 580.556 1796.5 4901.35 289.651 1904.4 104.024 318.34 442.625 137.456 1446.24 347.784 
118	440.944 736.935 837.382 1826.04 555.788 690.82 2422.23 1501.17 361.079 481.41 202.17 626.025 582.061 259.38 122.57 193.519 577.127 1025.81 889.427 2782.54 853.288 622.301 289.097 848.414 2533.16 347.05 252.074 425.988 285.997 211.838 794.942 271.187 682.998 1165.83 2886.48 909.099 1631.51 665.393 461.12 302.231 1010.84 5881.26 322.268 363.197 653.584 298.143 557.544 861.713 1573.09 433.057 
119	520.656 1368.44 1040.31 2730.62 669.635 697.585 3545.83 1620.7 448.64 633.442 262.792 803.753 579.917 230.56 144.352 168.265 548.345 1675.92 1003.28 4421.97 1426.55 965.159 572.959 1447.47 2512.89 318.34 282.378 400.875 307.007 226.837 1461.28 526.888 1070.59 1235.08 4162.09 1370.45 2559.94 1048.69 432.3 295.28 1890.29 7218.26 293.963 475.076 835.934 279.223 538.743 863.942 2129.87 410.408 
